airport_name,cancel_reason,num_cancel
"Brownsville, TX: Brownsville South Padre Island International",Weather,1
"Corpus Christi, TX: Corpus Christi International","National Air System",1
"Dillingham, AK: Dillingham Airport",Weather,1
"Evansville, IN: Evansville Regional",Carrier,1
"Fresno, CA: Fresno Yosemite International",Weather,1
"Fort Smith, AR: Fort Smith Regional",Weather,1
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",Carrier,1
"Killeen, TX: Robert Gray AAF","National Air System",1
"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",Weather,1
"Helena, MT: Helena Regional","National Air System",1
"Ashland, WV: Tri-State/Milton J. Ferguson Field",Weather,1
"Idaho Falls, ID: Idaho Falls Regional",Weather,1
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Weather,1
"Jamestown, ND: Jamestown Regional",Weather,1
"Latrobe, PA: Arnold Palmer Regional",Carrier,1
"Lake Charles, LA: Lake Charles Regional",Weather,1
"Meridian, MS: Key Field",Weather,1
"Monroe, LA: Monroe Regional",Carrier,1
"Mobile, AL: Mobile Regional","National Air System",1
"Marquette, MI: Sawyer International",Weather,1
"Nome, AK: Nome Airport",Carrier,1
"Kotzebue, AK: Ralph Wien Memorial",Carrier,1
"St. Petersburg, FL: St Pete Clearwater International",Carrier,1
"Palm Springs, CA: Palm Springs International","National Air System",1
"Rockford, IL: Chicago/Rockford International",Weather,1
"Riverton/Lander, WY: Riverton Regional",Weather,1
"Rochester, MN: Rochester International",Weather,1
"San Luis Obispo, CA: San Luis County Regional",Weather,1
"Deadhorse, AK: Deadhorse Airport",Weather,1
"Sanford, FL: Orlando Sanford International",Carrier,1
"St. George, UT: St George Regional",Weather,1
"Shreveport, LA: Shreveport Regional","National Air System",1
"San Angelo, TX: San Angelo Regional/Mathis Field","National Air System",1
"Salina, KS: Salina Regional",Weather,1
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Carrier,1
"Christiansted, VI: Henry E. Rohlsen",Carrier,1
"Newburgh/Poughkeepsie, NY: New York Stewart International",Weather,1
"Bristol/Johnson City/Kingsport, TN: Tri Cities",Carrier,1
"Victoria, TX: Victoria Regional",Weather,1
"Wrangell, AK: Wrangell Airport",Weather,1
"Yakutat, AK: Yakutat Airport",Carrier,1
